"","Consensus_vector_0.15","Region","Value_MO","Value_YM","helper_vector","Middle","Old","Young","movers_tot"
"152","3","Temporal_Sup_R_1_152",0.137587370184993,0.283773951006549,152,"Connector","Connector","Connector",1
"153","3","Temporal_Sup_R_2_153",0.210692910183572,0.391098714528256,153,"Connector","Connector","Connector",1
"154","3","Temporal_Sup_R_4_154",0.194788045382273,0.404559786563182,154,"Satellite","Satellite","Satellite",1
"155","3","Temporal_Sup_R_5_155",0.154331195644156,0.316112862802167,155,"Satellite","Satellite","Satellite",1
"156","3","Thalamus_L_1_156",0.0629440985977487,0.154499151103565,156,"Peripheral","Satellite","Satellite",0
"157","3","Thalamus_L_1_157",0.063437620879613,0.162422184493492,157,"Peripheral","Peripheral","Peripheral",1
"158","3","Thalamus_L_1_158",0.0661720010899412,0.162422184493492,158,"Peripheral","Satellite","Peripheral",0
"159","3","Thalamus_L_2_159",0.0552211418085783,0.142614601018676,159,"Satellite","Connector","Peripheral",0
"160","3","Thalamus_R_1_160",0.115866809415196,0.237327188940092,160,"Peripheral","Peripheral","Peripheral",1
"161","3","Thalamus_R_2_161",0.0568751083748255,0.150820599886814,161,"Satellite","Connector","Peripheral",0
"162","3","Thalamus_Ven_Ant_Nucleus_R_162",0.0433003873864088,0.139784946236559,162,"Peripheral","Peripheral","Peripheral",1
"163","3","Vermis_6_163",0.142980455374343,0.251273344651952,163,"Peripheral","Peripheral","Peripheral",1
