"","Consensus_vector_0.15","1st_network","Region","Age_group","MODULAR","freq"
"125","2","SMN","Cingulum_Mid_L_1","Old","Connector",0.343434343434343
"126","2","SMN","Cingulum_Mid_L_1","Old","Provincial",0.144781144781145
"127","2","SMN","Cingulum_Mid_L_1","Old","Satellite",0.2996632996633
"128","2","SMN","Cingulum_Mid_L_1","Old","Peripheral",0.212121212121212
"129","2","SMN","Cingulum_Mid_L_1","Young","Connector",0.308755760368664
"130","2","SMN","Cingulum_Mid_L_1","Young","Provincial",0.207373271889401
"131","2","SMN","Cingulum_Mid_L_1","Young","Satellite",0.331797235023041
"132","2","SMN","Cingulum_Mid_L_1","Young","Peripheral",0.152073732718894
"133","3","CON","Cingulum_Mid_L_2","Middle","Connector",0.87719298245614
"134","3","CON","Cingulum_Mid_L_2","Middle","Provincial",0.0789473684210526
"135","3","CON","Cingulum_Mid_L_2","Middle","Satellite",0.043859649122807
"136","3","CON","Cingulum_Mid_L_2","Middle","Peripheral",0
"137","3","CON","Cingulum_Mid_L_2","Old","Connector",0.811447811447811
"138","3","CON","Cingulum_Mid_L_2","Old","Provincial",0.0841750841750842
"139","3","CON","Cingulum_Mid_L_2","Old","Satellite",0.0841750841750842
"140","3","CON","Cingulum_Mid_L_2","Old","Peripheral",0.0202020202020202
"141","3","CON","Cingulum_Mid_L_2","Young","Connector",0.861751152073733
"142","3","CON","Cingulum_Mid_L_2","Young","Provincial",0.105990783410138
"143","3","CON","Cingulum_Mid_L_2","Young","Satellite",0.0276497695852535
"144","3","CON","Cingulum_Mid_L_2","Young","Peripheral",0.00460829493087558
"145","1","DMN","Cingulum_Mid_L_3","Middle","Connector",0.210526315789474
"146","1","DMN","Cingulum_Mid_L_3","Middle","Provincial",0.157894736842105
"147","1","DMN","Cingulum_Mid_L_3","Middle","Satellite",0.482456140350877
"148","1","DMN","Cingulum_Mid_L_3","Middle","Peripheral",0.149122807017544
"149","1","DMN","Cingulum_Mid_L_3","Old","Connector",0.31986531986532
"150","1","DMN","Cingulum_Mid_L_3","Old","Provincial",0.188552188552189
"151","1","DMN","Cingulum_Mid_L_3","Old","Satellite",0.333333333333333
"152","1","DMN","Cingulum_Mid_L_3","Old","Peripheral",0.158249158249158
"153","1","DMN","Cingulum_Mid_L_3","Young","Connector",0.211981566820276
"154","1","DMN","Cingulum_Mid_L_3","Young","Provincial",0.184331797235023
"155","1","DMN","Cingulum_Mid_L_3","Young","Satellite",0.428571428571429
"156","1","DMN","Cingulum_Mid_L_3","Young","Peripheral",0.175115207373272
"157","3","CON","Cingulum_Mid_R_3","Middle","Connector",0.710526315789474
"158","3","CON","Cingulum_Mid_R_3","Middle","Provincial",0.0614035087719298
"159","3","CON","Cingulum_Mid_R_3","Middle","Satellite",0.210526315789474
"160","3","CON","Cingulum_Mid_R_3","Middle","Peripheral",0.0175438596491228
"161","3","CON","Cingulum_Mid_R_3","Old","Connector",0.747474747474748
"162","3","CON","Cingulum_Mid_R_3","Old","Provincial",0.0707070707070707
"163","3","CON","Cingulum_Mid_R_3","Old","Satellite",0.151515151515152
"164","3","CON","Cingulum_Mid_R_3","Old","Peripheral",0.0303030303030303
"165","3","CON","Cingulum_Mid_R_3","Young","Connector",0.732718894009217
"166","3","CON","Cingulum_Mid_R_3","Young","Provincial",0.119815668202765
"167","3","CON","Cingulum_Mid_R_3","Young","Satellite",0.110599078341014
"168","3","CON","Cingulum_Mid_R_3","Young","Peripheral",0.0368663594470046
"169","1","DMN","Cingulum_Post_L","Middle","Connector",0.149122807017544
"170","1","DMN","Cingulum_Post_L","Middle","Provincial",0.298245614035088
"171","1","DMN","Cingulum_Post_L","Middle","Satellite",0.236842105263158
"172","1","DMN","Cingulum_Post_L","Middle","Peripheral",0.315789473684211
"173","1","DMN","Cingulum_Post_L","Old","Connector",0.208754208754209
"174","1","DMN","Cingulum_Post_L","Old","Provincial",0.239057239057239
"175","1","DMN","Cingulum_Post_L","Old","Satellite",0.296296296296296
"176","1","DMN","Cingulum_Post_L","Old","Peripheral",0.255892255892256
"177","1","DMN","Cingulum_Post_L","Young","Connector",0.147465437788018
"178","1","DMN","Cingulum_Post_L","Young","Provincial",0.202764976958525
"179","1","DMN","Cingulum_Post_L","Young","Satellite",0.350230414746544
"180","1","DMN","Cingulum_Post_L","Young","Peripheral",0.299539170506912
"181","1","DMN","Frontal_Inf_Orb_R_2","Middle","Connector",0.166666666666667
"182","1","DMN","Frontal_Inf_Orb_R_2","Middle","Provincial",0.280701754385965
"183","1","DMN","Frontal_Inf_Orb_R_2","Middle","Satellite",0.219298245614035
"184","1","DMN","Frontal_Inf_Orb_R_2","Middle","Peripheral",0.333333333333333
"185","1","DMN","Frontal_Inf_Orb_R_2","Old","Connector",0.114478114478114
"186","1","DMN","Frontal_Inf_Orb_R_2","Old","Provincial",0.208754208754209
"187","1","DMN","Frontal_Inf_Orb_R_2","Old","Satellite",0.239057239057239
"188","1","DMN","Frontal_Inf_Orb_R_2","Old","Peripheral",0.437710437710438
"189","1","DMN","Frontal_Inf_Orb_R_2","Young","Connector",0.207373271889401
"190","1","DMN","Frontal_Inf_Orb_R_2","Young","Provincial",0.327188940092166
"191","1","DMN","Frontal_Inf_Orb_R_2","Young","Satellite",0.262672811059908
"192","1","DMN","Frontal_Inf_Orb_R_2","Young","Peripheral",0.202764976958525
"193","4","Language","Frontal_Inf_Tri_L_1","Middle","Connector",0.324561403508772
"194","4","Language","Frontal_Inf_Tri_L_1","Middle","Provincial",0.298245614035088
"195","4","Language","Frontal_Inf_Tri_L_1","Middle","Satellite",0.298245614035088
"196","4","Language","Frontal_Inf_Tri_L_1","Middle","Peripheral",0.0789473684210526
"197","4","Language","Frontal_Inf_Tri_L_1","Old","Connector",0.373737373737374
"198","4","Language","Frontal_Inf_Tri_L_1","Old","Provincial",0.218855218855219
"199","4","Language","Frontal_Inf_Tri_L_1","Old","Satellite",0.31986531986532
"200","4","Language","Frontal_Inf_Tri_L_1","Old","Peripheral",0.0875420875420875
"201","4","Language","Frontal_Inf_Tri_L_1","Young","Connector",0.350230414746544
"202","4","Language","Frontal_Inf_Tri_L_1","Young","Provincial",0.244239631336406
"203","4","Language","Frontal_Inf_Tri_L_1","Young","Satellite",0.331797235023041
