	Angular_L_1           	Cerebelum_6_R       	Cerebelum_Crus1_R_1   	Cerebelum_Crus1_R_2   	Cerebelum_Crus2_R   	Cingulum_Ant_L_2	Cingulum_Ant_L_3      	Cingulum_Ant_L_4      	Cingulum_Ant_L_5      	Cingulum_Ant_R_2      	Cingulum_Mid_L_1      	Cingulum_Mid_L_2      	Cingulum_Mid_L_3      	Cingulum_Mid_R_3      	Cingulum_Post_L     	Frontal_Inf_Orb_R_2   	Frontal_Inf_Tri_L_1   	Frontal_Inf_Tri_L_2   	Frontal_Inf_Tri_L_3   	Frontal_Inf_Tri_R_2   	Frontal_Mid_L_1       	Frontal_Mid_L_2       	Frontal_Mid_L_3       	Frontal_Mid_L_4       	Frontal_Mid_L_5       	Frontal_Mid_Orb_L_1   	Frontal_Mid_Orb_L_2   	Frontal_Sup_L_1       	Frontal_Sup_L_2       	Frontal_Sup_L_4       	Frontal_Sup_L_6       	Frontal_Sup_Medial_L_4	Frontal_Sup_Medial_R_4	Frontal_Sup_R_1       	Frontal_Sup_R_2       	Frontal_Sup_R_3       	Frontal_Sup_R_4       	Fusiform_L_1          	Fusiform_L_2          	Fusiform_L_3          	Fusiform_R_3          	Insula_L_1            	Insula_L_2            	Insula_R_2            	Insula_R_6                  	Paracentral_Lobule_L_1	Paracentral_Lobule_L_2	Paracentral_Lobule_L_3	ParaHippocampal_L_1   	ParaHippocampal_L_2   	Parietal_Inf_L_1      	Parietal_Inf_L_2      	Parietal_Inf_L_3      	Parietal_Inf_L_4      	Parietal_Inf_L_5      	Parietal_Inf_R_1      	Postcentral_L_3       	Postcentral_L_4       	Postcentral_L_5       	Postcentral_L_6       	Postcentral_R_5       	Postcentral_R_6       	Precentral_L_1                  	Precentral_L_2        	Precentral_L_3        	Precentral_L_4        	Precentral_L_5	Precentral_L_6        	Precentral_R_1        	Precentral_R_2        	Precentral_R_3        	Precentral_R_5        	Precuneus_L_1         	Precuneus_L_2         	Precuneus_L_3         	Precuneus_L_4         	Precuneus_L_5         	Precuneus_L_6         	Precuneus_L_7         	Putamen_L_1           	Putamen_L_2           	Putamen_R_1           	Putamen_R_2           	Rolandic_Oper_L_1     	Rolandic_Oper_L_2     	Rolandic_Oper_L_3     	Rolandic_Oper_R_1     	Rolandic_Oper_R_2     	Rolandic_Oper_R_3     	Supp_Motor_Area_L_1   	Supp_Motor_Area_L_2   	Supp_Motor_Area_L_3   	Supp_Motor_Area_L_4   	Supp_Motor_Area_R_1   	Supp_Motor_Area_R_2   	Supp_Motor_Area_R_3   	Supp_Motor_Area_R_4   	Supp_Motor_Area_R_5   	SupraMarginal_L_1     	SupraMarginal_L_2     	SupraMarginal_L_3     	SupraMarginal_R_2     	Temporal_Inf_L_2      	Temporal_Inf_L_3      	Temporal_Inf_R_2      	Temporal_Inf_R_5      	Temporal_Mid_L_1      	Temporal_Mid_L_4      	Temporal_Mid_L_5	Temporal_Mid_L_6	Temporal_Mid_L_7	Temporal_Mid_L_8	Temporal_Mid_L_9	Temporal_Mid_R_1      	Temporal_Mid_R_4	Temporal_Mid_R_5	Temporal_Mid_R_6	Temporal_Pole_Mid_R_1	Temporal_Pole_Sup_L 	Temporal_Sup_L_1     	Temporal_Sup_L_2	Temporal_Sup_R_1      	Temporal_Sup_R_2	Temporal_Sup_R_4	Temporal_Sup_R_5	Thalamus_L_1          	Thalamus_L_2	Thalamus_R_1          	Thalamus_R_2	Thalamus_Ven_Ant_Nucleus_R                 	Vermis_6            
Subject_195	41	25	24	13	26	32	36	19	26	16	20	32	20	40	17	14	31	29	30	36	34	22	20	36	16	26	20	26	35	34	19	31	33	33	19	29	39	9	18	8	2	33	34	8	34	18	13	26	26	29	34	31	40	26	25	19	37	40	23	21	28	27	4	18	33	40	36	30	40	38	42	40	19	20	26	18	21	21	36	11	16	29	19	41	27	32	46	22	23	35	44	27	31	29	19	35	24	34	31	20	21	33	5	31	36	8	35	31	24	35	16	16	19	31	10	34	26	15	40	32	25	33	40	10	25	20	19	4	19	12	16
Subject_196	34	12	31	30	31	22	36	13	33	17	15	31	45	31	31	28	30	29	26	37	28	22	33	32	34	10	27	27	29	23	17	47	23	23	29	28	6	5	21	3	1	35	33	22	43	8	23	32	28	30	35	32	9	33	20	25	35	34	37	37	23	35	25	33	25	33	37	32	28	36	38	22	20	14	27	18	28	37	27	5	21	10	6	7	38	37	37	33	38	47	34	28	38	14	39	34	30	39	26	31	18	28	1	24	21	3	29	28	31	20	24	26	24	5	29	29	37	10	36	23	33	27	32	26	27	14	11	29	14	17	19
Subject_197	31	28	28	26	14	30	29	40	31	37	30	39	31	40	29	8	17	22	27	30	36	18	7	32	29	3	15	31	28	30	21	36	34	37	30	19	31	18	25	1	1	34	28	31	29	9	16	16	23	42	20	29	13	28	7	22	26	30	40	31	38	36	29	24	28	39	42	24	35	26	16	26	33	15	34	27	34	27	6	10	27	11	6	38	48	34	41	31	42	48	47	17	38	24	26	36	23	40	34	43	41	30	1	9	13	20	35	27	24	3	19	16	35	27	8	23	12	20	38	34	44	39	38	22	21	10	12	12	13	28	6
Subject_198	29	25	14	21	23	26	20	24	33	26	28	31	27	44	22	26	20	25	19	17	33	18	25	20	12	16	19	50	24	27	21	23	18	39	19	24	14	4	20	13	12	22	25	24	40	7	20	40	35	45	34	18	14	24	15	19	34	38	43	42	37	38	16	43	48	21	22	24	33	48	44	19	11	21	18	25	19	18	28	17	8	5	14	35	22	47	55	42	46	50	45	19	35	37	44	49	44	40	45	19	29	13	1	4	16	19	19	22	16	21	25	6	22	33	19	38	18	16	26	27	28	30	54	38	29	12	32	6	34	1	11
Subject_199	23	11	25	33	27	11	35	14	29	27	23	27	28	32	27	30	30	21	25	24	39	32	31	30	23	30	29	35	32	21	30	42	32	24	25	27	20	20	28	15	9	16	35	10	20	13	18	24	33	27	49	34	24	38	34	35	25	40	26	31	32	8	12	34	27	18	27	10	10	34	35	50	31	17	17	29	13	25	32	15	24	27	21	24	36	48	40	33	39	32	19	35	32	17	28	29	31	24	43	24	32	35	22	19	22	20	15	17	39	24	12	25	35	30	13	7	30	10	32	27	37	16	41	20	21	34	15	4	19	29	14
Subject_200	27	19	13	4	9	20	24	34	26	35	40	50	28	31	16	11	16	10	30	25	17	21	11	13	17	8	11	14	17	18	12	24	23	45	12	14	21	9	7	9	8	16	39	23	47	16	17	35	45	54	38	16	13	16	20	23	21	41	34	34	38	24	29	41	42	25	33	25	49	26	39	19	44	52	23	23	16	26	28	9	22	20	7	43	45	43	33	42	33	47	50	12	43	46	52	44	38	40	49	45	48	22	10	24	10	10	26	29	24	18	20	24	24	15	18	14	29	14	30	42	31	10	42	15	10	13	36	1	40	22	23
Subject_201	33	9	15	14	13	21	31	34	30	27	8	32	30	28	20	18	40	38	25	27	33	26	17	21	19	24	28	37	31	29	34	29	39	43	33	34	25	22	21	11	2	22	30	24	33	17	21	26	25	35	41	25	35	19	35	32	32	17	32	37	36	28	28	30	21	39	29	23	24	32	25	38	20	14	29	32	24	25	7	32	17	26	24	28	24	35	29	29	14	31	30	24	24	19	49	46	37	31	20	27	23	18	16	8	20	15	36	12	21	29	16	23	39	17	22	34	32	24	42	18	20	17	24	33	31	21	29	15	22	31	9
Subject_202	19	26	17	21	18	27	27	43	38	32	36	47	20	38	14	17	14	24	44	25	23	35	33	42	42	3	13	44	20	26	34	23	17	21	17	28	26	13	16	12	17	21	37	10	23	8	17	21	14	17	29	35	41	19	30	31	41	22	18	16	11	30	3	17	15	34	18	42	14	26	20	14	48	24	17	13	15	37	11	10	7	7	9	46	40	41	51	35	34	36	53	28	52	41	17	53	49	35	52	53	30	42	26	41	17	17	18	17	14	21	19	26	31	11	17	28	13	15	54	29	36	47	47	13	33	7	23	8	11	14	21
Subject_203	18	17	9	8	7	18	30	26	34	32	48	49	37	39	14	15	19	26	34	16	14	25	18	18	35	12	20	26	18	13	23	23	21	46	11	26	11	0	33	7	22	29	40	24	57	3	19	31	34	34	22	26	20	11	25	35	27	51	28	28	26	30	33	33	36	36	11	19	34	32	23	23	46	44	12	15	20	14	29	7	14	31	11	37	57	12	38	38	33	50	43	24	42	47	26	31	30	40	66	26	24	31	6	25	6	12	12	18	12	18	16	8	41	6	23	9	23	7	58	46	13	29	47	31	29	18	48	37	36	36	0
Subject_204	26	20	28	31	29	26	23	30	41	25	30	26	37	25	31	23	31	38	17	24	30	19	43	34	30	10	27	27	39	34	24	36	24	27	34	27	24	12	6	13	15	5	22	4	17	6	19	31	19	38	25	33	24	25	20	18	15	35	22	30	30	29	17	29	11	26	25	36	28	25	19	26	15	24	23	15	25	23	8	45	19	36	44	42	42	28	34	20	49	38	49	27	40	32	32	36	29	33	32	43	28	21	19	13	18	12	18	20	29	29	27	17	20	18	23	13	19	7	39	35	18	41	33	36	14	33	19	20	21	20	38
