	clusterMean_bu	cost_efficiency_relative_bin	efficiency_bin
Subject_413	0.48661	0.36323	0.56323
Subject_414	0.60325	0.34627	0.54627
Subject_415	0.50325	0.362	0.562
Subject_416	0.46127	0.37622	0.57622
Subject_417	0.49815	0.36548	0.56548
Subject_418	0.50775	0.36691	0.56691
Subject_419	0.48127	0.3733	0.5733
Subject_420	0.5184	0.35227	0.55227
Subject_421	0.50646	0.36161	0.56161
Subject_422	0.55106	0.35281	0.55281
Subject_423	0.48782	0.36826	0.56826
Subject_424	0.53464	0.35369	0.55369
Subject_425	0.44538	0.3738	0.5738
Subject_426	0.47684	0.37053	0.57053
Subject_427	0.4881	0.37116	0.57116
Subject_428	0.40183	0.38411	0.58411
Subject_429	0.60198	0.321	0.521
Subject_430	0.47385	0.37023	0.57023
Subject_431	0.45016	0.37679	0.57679
Subject_432	0.46079	0.37549	0.57549
Subject_433	0.43598	0.37704	0.57704
Subject_434	0.54673	0.36428	0.56428
Subject_435	0.47502	0.37508	0.57508
Subject_436	0.48704	0.36883	0.56883
Subject_437	0.47128	0.36927	0.56927
Subject_438	0.50708	0.36267	0.56267
Subject_439	0.55397	0.34047	0.54047
Subject_440	0.48539	0.36472	0.56472
Subject_441	0.44428	0.37919	0.57919
Subject_442	0.49261	0.35451	0.55451
Subject_443	0.45826	0.37794	0.57794
Subject_444	0.50227	0.36427	0.56427
Subject_445	0.47071	0.3735	0.5735
Subject_446	0.49909	0.36517	0.56517
Subject_447	0.51757	0.34878	0.54878
Subject_448	0.5686	0.32637	0.52637
Subject_449	0.51717	0.3675	0.5675
Subject_450	0.4772	0.36801	0.56801
Subject_451	0.53655	0.36184	0.56184
Subject_452	0.57113	0.35063	0.55063
Subject_453	0.51792	0.34357	0.54357
Subject_454	0.56217	0.35851	0.55851
Subject_455	0.51745	0.35596	0.55596
Subject_456	0.45726	0.374	0.574
Subject_457	0.46852	0.3754	0.5754
Subject_458	0.51619	0.34576	0.54576
Subject_459	0.52946	0.3517	0.5517
Subject_460	0.50368	0.3612	0.5612
Subject_461	0.51849	0.36352	0.56352
Subject_462	0.42491	0.37747	0.57747
Subject_463	0.52766	0.34956	0.54956
Subject_464	0.55432	0.32151	0.52151
Subject_465	0.46567	0.37555	0.57555
Subject_466	0.48482	0.36627	0.56627
Subject_467	0.50897	0.36676	0.56676
Subject_468	0.51997	0.35935	0.55935
Subject_469	0.52745	0.34344	0.54344
Subject_470	0.62867	0.31197	0.51197
Subject_471	0.43419	0.38172	0.58172
Subject_472	0.52252	0.3464	0.5464
Subject_473	0.47561	0.37453	0.57453
Subject_474	0.52299	0.33846	0.53846
Subject_475	0.45236	0.37288	0.57288
Subject_476	0.48508	0.36709	0.56709
Subject_477	0.48976	0.36192	0.56192
Subject_478	0.46854	0.36132	0.56132
Subject_479	0.53064	0.34976	0.54976
Subject_480	0.44641	0.37495	0.57495
Subject_481	0.52059	0.36056	0.56056
Subject_482	0.43365	0.38042	0.58042
Subject_483	0.4232	0.38342	0.58342
Subject_484	0.48618	0.3704	0.5704
Subject_485	0.55023	0.33871	0.53871
Subject_486	0.45585	0.37011	0.57011
Subject_487	0.4384	0.37731	0.57731
Subject_488	0.51446	0.35534	0.55534
Subject_489	0.43989	0.37833	0.57833
Subject_490	0.50975	0.32771	0.52771
Subject_491	0.46367	0.37196	0.57196
Subject_492	0.53855	0.34587	0.54587
Subject_493	0.47396	0.36458	0.56458
Subject_494	0.48091	0.3738	0.5738
Subject_495	0.48266	0.35837	0.55837
Subject_496	0.47217	0.3655	0.5655
Subject_497	0.51751	0.363	0.563
Subject_498	0.57714	0.32231	0.52231
Subject_499	0.51826	0.36822	0.56822
Subject_500	0.56199	0.32099	0.52099
Subject_501	0.48345	0.37187	0.57187
Subject_502	0.46441	0.37597	0.57597
Subject_503	0.51384	0.3524	0.5524
Subject_504	0.44789	0.37714	0.57714
Subject_505	0.44529	0.37708	0.57708
Subject_506	0.47594	0.37181	0.57181
Subject_507	0.45353	0.37494	0.57494
Subject_508	0.45984	0.37887	0.57887
Subject_509	0.4715	0.36722	0.56722
Subject_510	0.53266	0.34654	0.54654
Subject_511	0.49041	0.36162	0.56162
Subject_512	0.50328	0.36515	0.56515
Subject_513	0.51958	0.35838	0.55838
Subject_514	0.55823	0.36013	0.56013
Subject_515	0.45999	0.37406	0.57406
Subject_516	0.45881	0.37738	0.57738
Subject_517	0.55447	0.35158	0.55158
Subject_518	0.51967	0.3678	0.5678
Subject_519	0.43975	0.37541	0.57541
Subject_520	0.46705	0.37436	0.57436
Subject_521	0.51688	0.36359	0.56359
Subject_522	0.50465	0.36378	0.56378
Subject_523	0.5574	0.34305	0.54305
Subject_524	0.38759	0.38681	0.58681
Subject_525	0.53982	0.35619	0.55619
Subject_526	0.50886	0.36316	0.56316
Subject_527	0.56014	0.34741	0.54741
Subject_528	0.53974	0.36157	0.56157
Subject_529	0.51841	0.36057	0.56057
Subject_530	0.50528	0.36876	0.56876
Subject_531	0.49481	0.36343	0.56343
Subject_532	0.47717	0.3701	0.5701
Subject_533	0.52196	0.34883	0.54883
Subject_534	0.45918	0.37253	0.57253
Subject_535	0.50012	0.33618	0.53618
Subject_536	0.52427	0.34301	0.54301
Subject_537	0.51244	0.36844	0.56844
Subject_538	0.4572	0.37269	0.57269
Subject_539	0.52503	0.32773	0.52773
Subject_540	0.48913	0.37113	0.57113
Subject_541	0.499	0.36399	0.56399
Subject_542	0.47446	0.37385	0.57385
Subject_543	0.4971	0.36927	0.56927
Subject_544	0.47595	0.36991	0.56991
Subject_545	0.48823	0.37008	0.57008
Subject_546	0.47984	0.37397	0.57397
Subject_547	0.46087	0.37581	0.57581
Subject_548	0.4572	0.37526	0.57526
Subject_549	0.43416	0.37935	0.57935
Subject_550	0.50608	0.36409	0.56409
Subject_551	0.47835	0.37077	0.57077
Subject_552	0.48851	0.36895	0.56895
Subject_553	0.57593	0.35053	0.55053
Subject_554	0.51748	0.35817	0.55817
Subject_555	0.51662	0.34888	0.54888
Subject_556	0.45153	0.37512	0.57512
Subject_557	0.47069	0.37187	0.57187
Subject_558	0.46593	0.37235	0.57235
Subject_559	0.50395	0.36107	0.56107
Subject_560	0.52648	0.36109	0.56109
Subject_561	0.42681	0.38318	0.58318
Subject_562	0.475	0.36639	0.56639
Subject_563	0.45713	0.37468	0.57468
Subject_564	0.49803	0.36759	0.56759
Subject_565	0.55545	0.33784	0.53784
Subject_566	0.5088	0.35842	0.55842
Subject_567	0.61173	0.32506	0.52506
Subject_568	0.52464	0.34556	0.54556
Subject_569	0.48852	0.37056	0.57056
Subject_570	0.51939	0.35422	0.55422
Subject_571	0.42418	0.38347	0.58347
Subject_572	0.44766	0.37686	0.57686
Subject_573	0.49437	0.35624	0.55624
Subject_574	0.43605	0.37649	0.57649
