;hemi;region;side;label;RSNET
297;right;6ma;lateral;rh_R_6ma;
298;right;7PL;lateral;rh_R_7PL;
299;right;7PC;lateral;rh_R_7PC;
300;right;LIPv;lateral;rh_R_LIPv;
301;right;VIP;lateral;rh_R_VIP;
302;right;MIP;lateral;rh_R_MIP;
303;right;1;lateral;rh_R_1;2
304;right;2;lateral;rh_R_2;
305;right;3a;lateral;rh_R_3a;2
306;right;6d;lateral;rh_R_6d;
307;right;6mp;lateral;rh_R_6mp;
308;right;6v;lateral;rh_R_6v;4
309;right;47m;lateral;rh_R_47m;
310;right;8Av;lateral;rh_R_8Av;
311;right;8Ad;lateral;rh_R_8Ad;
312;right;9p;lateral;rh_R_9p;1
313;right;8C;lateral;rh_R_8C;
314;right;44;lateral;rh_R_44;
315;right;45;lateral;rh_R_45;3
316;right;47l;lateral;rh_R_47l;1
317;right;a47r;lateral;rh_R_a47r;
318;right;6r;lateral;rh_R_6r;4
319;right;IFJa;lateral;rh_R_IFJa;
320;right;IFJp;lateral;rh_R_IFJp;
321;right;IFSp;lateral;rh_R_IFSp;
322;right;IFSa;lateral;rh_R_IFSa;
323;right;p9-46v;lateral;rh_R_p9-46v;
324;right;46;lateral;rh_R_46;
325;right;a9-46v;lateral;rh_R_a9-46v;
326;right;9-46d;lateral;rh_R_9-46d;1
327;right;9a;lateral;rh_R_9a;1
328;right;a10p;lateral;rh_R_a10p;
329;right;11l;lateral;rh_R_11l;
330;right;13l;lateral;rh_R_13l;
331;right;47s;lateral;rh_R_47s;
332;right;LIPd;lateral;rh_R_LIPd;
333;right;6a;lateral;rh_R_6a;
334;right;i6-8;lateral;rh_R_i6-8;
335;right;s6-8;lateral;rh_R_s6-8;
336;right;43;lateral;rh_R_43;
337;right;OP4;lateral;rh_R_OP4;
338;right;OP1;lateral;rh_R_OP1;
339;right;OP2-3;lateral;rh_R_OP2-3;2
340;right;52;lateral;rh_R_52;
341;right;RI;lateral;rh_R_RI;2
342;right;PFcm;lateral;rh_R_PFcm;4
343;right;PoI2;lateral;rh_R_PoI2;1
344;right;TA2;lateral;rh_R_TA2;
345;right;FOP4;lateral;rh_R_FOP4;
346;right;MI;lateral;rh_R_MI;1
347;right;Pir;lateral;rh_R_Pir;
348;right;AVI;lateral;rh_R_AVI;
349;right;AAIC;lateral;rh_R_AAIC;
350;right;FOP1;lateral;rh_R_FOP1;
351;right;FOP3;lateral;rh_R_FOP3;
352;right;FOP2;lateral;rh_R_FOP2;
353;right;PFt;lateral;rh_R_PFt;
354;right;AIP;lateral;rh_R_AIP;
355;right;STGa;lateral;rh_R_STGa;1
356;right;PBelt;lateral;rh_R_PBelt;3
357;right;A5;lateral;rh_R_A5;3
358;right;STSda;lateral;rh_R_STSda;1
359;right;STSdp;lateral;rh_R_STSdp;
360;right;STSvp;lateral;rh_R_STSvp;1
361;right;TGd;lateral;rh_R_TGd;
362;right;TE1a;lateral;rh_R_TE1a;
363;right;TE1p;lateral;rh_R_TE1p;
364;right;TE2a;lateral;rh_R_TE2a;
365;right;TE2p;lateral;rh_R_TE2p;
366;right;PHT;lateral;rh_R_PHT;
367;right;PH;lateral;rh_R_PH;
368;right;TPOJ1;lateral;rh_R_TPOJ1;1
369;right;TPOJ2;lateral;rh_R_TPOJ2;2
370;right;TPOJ3;lateral;rh_R_TPOJ3;
371;right;PGp;lateral;rh_R_PGp;
372;right;IP2;lateral;rh_R_IP2;
373;right;IP1;lateral;rh_R_IP1;
374;right;IP0;lateral;rh_R_IP0;
375;right;PFop;lateral;rh_R_PFop;4
376;right;PF;lateral;rh_R_PF;4
377;right;PFm;lateral;rh_R_PFm;
378;right;PGi;lateral;rh_R_PGi;
379;right;PGs;lateral;rh_R_PGs;
380;right;V4t;lateral;rh_R_V4t;
381;right;FST;lateral;rh_R_FST;
382;right;V3CD;lateral;rh_R_V3CD;
383;right;LO3;lateral;rh_R_LO3;
384;right;PoI1;lateral;rh_R_PoI1;3
385;right;Ig;lateral;rh_R_Ig;3
386;right;FOP5;lateral;rh_R_FOP5;
387;right;p10p;lateral;rh_R_p10p;
388;right;p47r;lateral;rh_R_p47r;
389;right;TGv;lateral;rh_R_TGv;1
390;right;MBelt;lateral;rh_R_MBelt;3
391;right;LBelt;lateral;rh_R_LBelt;
392;right;A4;lateral;rh_R_A4;4
393;right;STSva;lateral;rh_R_STSva;
394;right;TE1m;lateral;rh_R_TE1m;
395;right;PI;lateral;rh_R_PI;
